@relation R_data_frame

@attribute avail.datasets {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute simple.classes numeric
@attribute simple.attributes numeric
@attribute simple.numeric numeric
@attribute simple.nominal numeric
@attribute simple.samples numeric
@attribute simple.dimensionality numeric
@attribute simple.numeric_rate numeric
@attribute simple.nominal_rate numeric
@attribute simple.symbols_min numeric
@attribute simple.symbols_max numeric
@attribute simple.symbols_mean numeric
@attribute simple.symbols_sd numeric
@attribute simple.symbols_sum numeric
@attribute simple.class_prob_min numeric
@attribute simple.class_prob_max numeric
@attribute simple.class_prob_mean numeric
@attribute simple.class_prob_sd numeric
@attribute statistical.skewness numeric
@attribute statistical.skewness_prep numeric
@attribute statistical.kurtosis numeric
@attribute statistical.kurtosis_prep numeric
@attribute statistical.abs_cor numeric
@attribute statistical.cancor_1 numeric
@attribute statistical.fract_1 numeric
@attribute inftheo.class_entropy numeric
@attribute inftheo.normalized_class_entropy numeric
@attribute inftheo.attribute_entropy numeric
@attribute inftheo.normalized_attribute_entropy numeric
@attribute inftheo.joint_entropy numeric
@attribute inftheo.mutual_information numeric
@attribute inftheo.equivalent_attributes numeric
@attribute inftheo.noise_signal_ratio numeric
@attribute modelbased.nodes numeric
@attribute modelbased.leaves.nodes_per_attribute numeric
@attribute modelbased.nodes_per_instance numeric
@attribute modelbased.leaf_corrobation numeric
@attribute modelbased.level_min numeric
@attribute modelbased.level_max numeric
@attribute modelbased.level_mean numeric
@attribute modelbased.level_sd numeric
@attribute modelbased.branch_min numeric
@attribute modelbased.branch_max numeric
@attribute modelbased.branch_mean numeric
@attribute modelbased.branch_sd numeric
@attribute modelbased.attribute_min numeric
@attribute modelbased.attribute_max numeric
@attribute modelbased.attribute_mean numeric
@attribute modelbased.attribute_sd numeric
@attribute modelbased.NA numeric
@attribute landmarking.naive_bayes numeric
@attribute landmarking.stump_min numeric
@attribute landmarking.stump_max numeric
@attribute landmarking.stump_mean numeric
@attribute landmarking.stump_sd numeric
@attribute landmarking.stump_min_gain numeric
@attribute landmarking.stump_random numeric
@attribute landmarking.nn_1 numeric
@attribute f1 numeric
@attribute f1v numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute edges numeric
@attribute degree numeric
@attribute density numeric
@attribute maxComp numeric
@attribute closeness numeric
@attribute betweenness numeric
@attribute clsCoef numeric
@attribute hubs numeric
@attribute avgPath numeric
@attribute Class {Defaults,Tuning}

@data
1065_kc3,2,39,39,0,458,0.085153,1,0,2,2,2,0,2,0.093886,0.906114,0.5,0.574331,2.587199,2.587199,14.705653,14.705653,0.564353,0.537445,1,0.311439,0.449311,0.73937,0.242853,0.311439,0.030952,10.062047,22.887771,6,7,0.153846,0.0131,0.142857,2,4,3,1.154701,3,5,4,0.816497,0,1,0.153846,0.365518,0.847162,0.906114,0.91048,0.906449,0.001067,0.906114,0.906114,0.884279,0.708,8.929,0.000013,0.286,0.644,0.19,0.094,0.5,0.19,0.413,0.118,0.332,0.998,11.744,17213,75.165939,0.164477,415,0.000043,545.331878,0.303781,0.787374,3.894442,Tuning
1066_kc1-binary,2,86,86,0,145,0.593103,1,0,2,2,2,0,2,0.413793,0.586207,0.5,0.121915,2.319703,2.319703,10.788349,10.788349,0.421319,0.910263,1,0.678209,0.978449,0.735869,0.296136,0.678209,0.055605,12.19701,12.233972,4,5,0.046512,0.027586,0.2,2,2,2,0,2,5,3.8,1.30384,0,1,0.046512,0.211825,0.682759,0.586207,0.772414,0.693504,0.069455,0.586207,0.744828,0.717241,0.917,11.311,0,0.359,1,0.644,0.262,0.203,0.421,0.78,0.283,0.224,1,1.686,1437,19.82069,0.137644,85,0.000098,76.082759,0.236058,0.760179,3.367507,Defaults
1067_kc1,2,21,21,0,2109,0.009957,1,0,2,2,2,0,2,0.154576,0.845424,0.5,0.488504,3.796243,3.796243,34.634973,34.634973,0.707575,0.467723,1,0.430565,0.621173,0.747348,0.195199,0.430565,0.04141,10.397722,17.047733,7,8,0.333333,0.003319,0.125,2,6,3.5,1.914854,2,5,4.5,1.069045,0,1,0.333333,0.483046,0.825036,0.845424,0.845424,0.845424,0,0.845424,0.845424,0.84495,0.533,3.934,0.001,0.009,0.042,0.31,0.155,0.5,0.366,0.679,0.261,0.414,0.986,100.429,362224,343.503082,0.162952,1783,0.000001,1771.630631,0.274453,0.734393,3.295469,Tuning
1068_pc1,2,21,21,0,1109,0.018936,1,0,2,2,2,0,2,0.069432,0.930568,0.5,0.608915,5.560927,5.560927,69.03357,69.03357,0.667721,0.386223,1,0.252167,0.3638,0.363026,0.103825,0.252167,0.013649,18.475103,25.597212,5,6,0.238095,0.004509,0.166667,2,4,2.5,1,3,5,3.833333,0.983192,0,1,0.238095,0.436436,0.889991,0.930568,0.935978,0.930955,0.001293,0.930568,0.930568,0.920649,0.248,5.838,0.000004,0.053,0.237,0.14,0.069,0.5,0.138,0.517,0.087,0.387,0.993,52.81,101391,182.851217,0.165028,1032,0.00001,1433.893598,0.318676,0.773848,3.981515,Tuning
1069_pc2,2,36,36,0,5589,0.006441,1,0,2,2,2,0,2,0.004115,0.995885,0.5,0.701287,10.228512,10.228512,377.406224,377.406224,0.511614,0.341067,1,0.026712,0.038537,0.401288,0.092945,0.026712,0.002956,9.036328,134.750946,0,1,0,0,1,0,1,0.5,0.707107,1,1,1,0,0,0,0,0,0.972088,0.995885,0.995885,0.995885,0,0.995885,0.995885,0.992127,1.066,18.799,0,0.336,0.618,0.009,0.004,0.5,0.011,0.057,0.008,0.424,0.988,155.25,3043051,1088.942924,0.194872,5566,0.000007,5526.462158,0.325794,0.777504,2.994354,Defaults
1071_mw1,2,37,37,0,403,0.091811,1,0,2,2,2,0,2,0.076923,0.923077,0.5,0.598321,1.991251,1.991251,11.087073,11.087073,0.480686,0.510496,1,0.271189,0.391244,0.930843,0.310723,0.271189,0.027158,9.985627,33.275129,2,3,0.054054,0.004963,0.333333,2,2,2,0,2,3,2.666667,0.57735,0,1,0.054054,0.229243,0.833747,0.923077,0.92804,0.923278,0.000902,0.923077,0.925558,0.873449,0.658,7.521,0.000003,0.362,0.851,0.156,0.077,0.5,0.181,0.582,0.136,0.357,1,10.892,12813,63.588089,0.158179,372,0.000066,528.253102,0.251653,0.772783,4.068936,Tuning
1073_jEdit_4.0_4.2,2,8,8,0,274,0.029197,1,0,2,2,2,0,2,0.489051,0.510949,0.5,0.015484,4.213328,4.213328,33.820364,33.820364,0.306971,0.52327,1,0.692907,0.999654,0.655495,0.231361,0.692907,0.039057,17.740802,15.78291,5,6,0.625,0.018248,0.166667,2,2,2,0,2,6,4.333333,1.632993,0,2,0.625,0.744024,0.69708,0.543796,0.740876,0.648266,0.059999,0.543796,0.609489,0.664234,0.298,14.17,0.051,0.018,0.066,0.795,0.358,0.359,0.504,0.794,0.336,0.305,1,34.25,4551,33.218978,0.121681,140,0.000026,132.839416,0.201067,0.770793,3.004008,Defaults
1075_datatrieve,2,8,8,0,130,0.061538,1,0,2,2,2,0,2,0.084615,0.915385,0.5,0.587443,1.330007,1.330007,5.277147,5.277147,0.618744,0.421726,1,0.289899,0.418237,0.957921,0.399484,0.289899,0.034667,8.362505,26.632409,1,2,0.125,0.007692,0.5,2,2,2,0,2,2,2,0,0,1,0.125,0.353553,0.846154,0.915385,0.923077,0.916346,0.00272,0.915385,0.923077,0.892308,0.733,8.533,0.125,0.208,0.9,0.17,0.085,0.5,0.177,0.209,0.108,0.346,0.923,16.25,1255,19.307692,0.149672,119,0.000481,174.492308,0.289092,0.749117,4.230736,Defaults
1100_PopularKids,3,10,6,4,478,0.020921,0.6,0.4,2,9,3.8,2.949576,19,0.188285,0.516736,0.333333,0.167551,0.44569,1.678991,2.202891,6.239706,0.248379,0.328771,0.524743,1.015684,0.924516,1.17905,0.581071,1.426036,0.02075,48.948155,55.821113,8,9,0.8,0.016736,0.111111,2,6,3.2,1.788854,2,6,4.777778,1.20185,0,3,0.8,1.032796,0.543933,0.516736,0.516736,0.516736,0,0.516736,0.516736,0.560669,0.084,0.315,1.917,0.013,0.013,0.638667,0.316333,0.474333,0.773,1.404,0.658,0.526,0.995,39.2,9261,38.748954,0.081235,247,0.000007,113.774059,0.16743,0.600961,2.262664,Defaults
1115_teachingAssistant,3,6,2,4,151,0.039735,0.333333,0.666667,2,26,11.6,12.700394,58,0.324503,0.344371,0.333333,0.010116,0.285015,4.177003,2.076022,22.366793,0.489219,0.767461,0.517663,1.098306,0.999721,1.588005,0.710919,2.070442,0.133606,8.220498,10.88575,9,10,1.5,0.059603,0.1,2,6,3.6,1.67332,2,6,5,1.247219,0,3,1.5,1.378405,0.701987,0.377483,0.503311,0.43819,0.052717,0.410596,0.423841,0.609272,8.251,0.662333,1.285,0.338,0.563,0.657,0.333333,0.5,0.629,0.735,0.371,0.45,0.914,25.167,725,9.602649,0.064018,28,0.00005,8.119205,0.089136,0.793922,2.547619,Tuning
1121_badges2,2,11,8,3,294,0.037415,0.727273,0.272727,2,2,2,0,8,0.285714,0.714286,0.5,0.303046,0.879203,1.170131,3.591574,6.470265,0.238791,1,1,0.59827,0.863121,0.960701,0.4973,0.681488,0.076856,7.784264,11.499966,1,2,0.090909,0.003401,0.5,2,2,2,0,2,2,2,0,0,1,0.090909,0.301511,1,0.714286,1,0.755102,0.085833,0.714286,1,1,0.061,1.547,0.07,0.973,0.973,0.000231,0,0,0.014,0.16,0,0,0.721,26.727,4378,29.782313,0.101646,210,0.000031,257.996599,0.27774,0.795673,4.453224,Defaults
1167_pc1_req,2,8,7,1,320,0.025,0.875,0.125,2,3,2.5,0.707107,5,0.334375,0.665625,0.5,0.234229,2.13844,3.919587,11.674521,31.438188,0.291523,0.322516,1,0.637234,0.919334,0.658517,0.233067,0.646353,0.010621,59.999957,61.003957,5,6,0.625,0.015625,0.166667,2,4,3.333333,1.154701,3,4,3.666667,0.516398,0,2,0.625,0.744024,0.665625,0.665625,0.665625,0.665625,0,0.665625,0.665625,0.634375,0.163,0.242,0,0.024,0.063,0.777,0.389,0.5,0.675,0.891,0.532,0.313,0.984,15.75,5921,37.00625,0.116007,213,0.000024,122.934375,0.220617,0.655555,2.473425,Defaults
11_balance-scale,3,4,4,0,625,0.0064,1,0,3,3,3,0,3,0.0784,0.4608,0.333333,0.220779,0.373424,0.373424,2.003462,2.003462,0.236134,0.822601,0.999058,0.913649,0.831639,1.609438,0.5,0.913649,0.09382,9.738265,16.154444,12,13,3,0.0192,0.076923,2,8,4.8,3.03315,4,6,4.846154,0.688737,1,4,3,1.414214,0.9088,0.6352,0.6352,0.6352,0,0.6352,0.6352,0.8064,0.204,0.161356,3,0,0,0.625,0.333333,0.5,0.317,0.677,0.208,0.327,0.914,156.25,23303,74.5696,0.119503,288,0.000005,111.7232,0.238548,0.585038,1.819396,Tuning
13_breast-cancer,2,9,0,9,286,0.031469,0,1,2,11,4.3,2.983287,43,0.297203,0.702797,0.5,0.286799,0,3.143176,3,21.165878,0.286746,0.468648,1,0.608476,0.877845,1.043799,0.797878,1.628801,0.023474,25.921312,43.466269,8,9,0.888889,0.027972,0.111111,2,6,4,1.632993,3,5,4.444444,0.881917,0,3,0.888889,1.054093,0.758741,0.702797,0.723776,0.709013,0.009378,0.702797,0.72028,0.678322,0.021,0.849,0.667,0.003,0.007,0.586,0.297,0.5,0.437,0.865,0.357,0.392,1,31.778,5926,41.440559,0.145405,102,0.000016,11.454545,0.233062,0.693721,1.455446,Tuning
1442_MegaWatt1,2,37,37,0,253,0.146245,1,0,2,2,2,0,2,0.106719,0.893281,0.5,0.556183,1.707479,1.707479,8.381491,8.381491,0.458417,0.521175,1,0.339601,0.489941,1.003954,0.3621,0.339601,0.030069,11.294025,32.388261,2,3,0.054054,0.007905,0.333333,2,2,2,0,2,3,2.666667,0.57735,0,1,0.054054,0.229243,0.798419,0.893281,0.901186,0.893601,0.001437,0.893281,0.893281,0.814229,0.578,2.621,0.000002,0.237,1,0.216,0.107,0.5,0.249,0.694,0.186,0.356,1,6.838,4541,35.897233,0.142449,226,0.000116,328.316206,0.278352,0.781078,4.263284,Tuning
