@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute Class {Defaults,Tuning}

@data
1100_PopularKids,2.434698,-1.440561,2.550734,0.64456,-2.364832,-0.480075,0.927537,0.521841,-1.161839,0.347062,0.337799,-0.668063,-0.063273,0.591902,0.040351,0.319189,0.478774,-0.27644,-0.032959,0.016131,-0.128345,-0.462355,0.029331,0.860577,0.057603,-0.718505,0.509167,0.237004,0.351528,-0.642703,0.362388,-0.316011,0.332363,0.168203,-0.034219,0.485142,-0.241848,0.421175,0.048286,-0.099124,Defaults
1115_teachingAssistant,4.182586,-0.046318,2.332118,1.321198,-0.468436,0.83445,-0.999254,-0.927226,0.625479,-0.146293,-0.336323,-0.335199,-1.757808,0.204125,-0.874019,1.474466,1.11486,0.292854,0.625416,0.529062,-0.773107,0.340058,-0.617267,-1.057579,-0.036618,-1.341889,0.557351,0.325575,-0.177141,-0.233631,0.603989,-0.85656,0.378257,-0.058265,-0.55863,0.09295,0.104984,-0.654787,0.247576,-0.349541,Tuning
1121_badges2,-3.580414,4.550418,-0.573715,0.959441,3.074063,-1.351571,-1.083833,-0.064467,1.695863,-1.172709,-0.866175,0.522016,2.291016,1.186923,1.336754,-0.087817,-0.36639,-0.696912,2.747456,0.106347,-1.693765,0.328335,0.198517,-1.073751,-0.242208,-0.598742,-0.447794,0.772245,0.800219,-1.232172,0.189494,-0.177062,-0.335942,0.205466,0.117496,-0.792374,0.399814,-0.3584,-0.705429,0.181868,Tuning
1167_pc1_req,-0.414056,-0.468155,3.26097,-0.717096,-1.900702,-1.125549,0.26604,-0.852134,-1.564401,0.47308,0.952951,1.299573,0.352904,-0.371273,0.602224,-0.041371,0.237675,-0.911394,-0.732082,0.120216,-0.161479,0.079774,1.055382,0.211528,-0.050725,-0.208439,0.404876,0.400333,-0.137077,-0.573242,-0.126061,-0.044894,0.123901,0.029444,-0.005353,0.291006,-0.171606,-0.127091,-0.477716,-0.123384,Defaults
11_balance-scale,1.834487,-4.277146,1.383909,1.57943,1.958179,-0.18272,-1.045748,-0.296479,0.619652,-0.425277,0.837058,2.304385,1.586484,-0.387754,-0.540694,0.561794,1.049823,-0.19403,-1.282977,-0.089961,0.258916,-0.41052,1.249757,0.066063,0.225742,-0.292667,0.759749,-0.00245,-0.577577,0.025701,-0.755095,-0.263146,-0.781783,0.778662,-0.349362,-0.361464,0.247881,0.209153,0.823588,0.016398,Tuning
13_breast-cancer,0.336357,-0.991898,3.634091,1.29219,-0.140452,1.422335,-0.190169,1.330688,-1.240358,-0.180496,-0.905375,0.519948,-0.669486,-0.417772,-0.345662,1.428964,-0.162147,-0.124839,-0.163492,-0.194771,0.060617,-0.169317,0.080459,0.413881,0.231574,-0.351401,0.935631,0.939068,-0.598891,0.526717,-0.001657,-0.437111,0.157302,-0.825426,0.133617,0.528826,-0.178368,0.085899,-0.383373,-0.489,Tuning
1442_MegaWatt1,-4.273633,1.547185,0.389885,-1.006576,-0.699157,-2.986475,-1.589268,0.834242,0.151273,-0.380767,0.407627,-0.49708,-0.218625,0.017047,0.647886,0.453764,-0.856163,0.242423,-0.149137,-0.379411,0.018162,-0.400019,-0.123242,0.438017,-0.030792,0.386598,0.030257,-0.231492,-0.220337,-0.159052,-0.148369,-0.147515,-0.319348,-0.35494,0.313652,-0.183814,0.186861,-0.112056,0.193482,0.158598,Tuning
1443_PizzaCutter1,-4.38677,-0.183911,-0.405499,-2.837203,0.114852,-1.563311,-1.836318,0.687213,-0.00895,0.705332,-0.425778,-1.88072,-0.109449,0.282327,0.386808,0.021527,-1.054398,0.371771,-0.497574,-0.127294,0.288889,0.547397,0.272658,-0.127135,-0.003535,-0.225767,-0.002728,-0.239055,-0.114131,0.001108,-0.159044,-0.022962,-0.613536,-0.348527,-0.09693,0.108229,-0.134786,-0.04298,0.009407,0.365919,Tuning
1444_PizzaCutter3,-2.946929,-2.553344,0.090907,-4.78846,-1.145652,0.196882,-1.419179,-0.497355,-0.245965,0.921038,-0.971945,-1.649926,-0.029857,0.849213,0.794397,-0.237104,-0.27541,0.346729,0.255563,-0.197942,-0.395265,0.148407,-0.331593,-0.079359,0.005354,0.171518,-0.070052,-0.14203,0.578405,1.173444,0.386639,0.59146,0.672295,-0.084533,0.449205,-0.386264,0.20823,0.071295,0.294388,-0.196147,Tuning
1446_CostaMadre1,-2.326184,-1.829996,0.932411,-2.573731,0.19629,-1.498809,-2.206621,0.892368,-0.568139,-1.078983,0.321419,0.282246,-0.196499,-1.086075,0.460005,0.493381,-0.479842,0.913357,0.201009,0.159298,-0.461438,0.528465,0.395038,-0.624735,0.146817,-0.353436,-0.009025,-0.217746,-0.513525,-0.249221,0.049113,-0.058219,0.005155,-0.275299,-0.007616,0.097803,0.019823,-0.166815,-0.060665,0.515795,Tuning
1447_CastMetal1,-3.211322,-0.283691,0.635044,-2.290922,-0.50711,-1.976363,-1.791276,0.67809,-0.329982,-0.245315,0.136925,-0.507899,-0.234475,-0.262684,0.521381,0.206095,-0.806463,0.674196,-0.243716,-0.027211,-0.236536,0.216404,0.02828,-0.012963,0.146856,-0.514843,-0.006379,-0.088935,-0.135496,-0.50068,0.166904,-0.315504,-0.178759,-0.13944,-0.000535,0.300649,-0.05867,-0.431957,0.273385,0.381958,Tuning
1451_PieChart1,-3.211887,-2.378546,-0.182727,-3.638878,0.686122,-0.560095,-2.145634,0.654619,-0.363241,0.164333,-0.430928,-1.521232,-0.012801,-0.205092,0.397407,0.170575,-0.835026,0.847002,-0.182298,-0.091295,0.20097,0.668742,0.477081,-0.765265,0.121718,-0.110663,-0.028266,-0.197025,-0.327114,0.307412,-0.5107,0.313425,-0.510759,-0.279004,-0.267802,0.124673,-0.121383,0.207146,-0.500608,0.544092,Tuning
1452_PieChart2,-6.51141,0.947929,-1.11341,-2.767307,-1.101913,-1.876527,-2.797134,0.388748,0.021015,-1.075906,-0.968631,0.054278,-0.088525,0.444376,0.404886,-0.15564,-0.837858,-0.891821,-0.232276,-0.418599,0.5177,0.215259,-0.093914,0.453793,-0.034512,-0.047981,0.172479,-0.531713,0.240951,-0.335729,-0.047029,-0.545038,-0.153436,-0.616279,0.031754,0.13771,-0.218947,-0.082018,-0.299141,0.409619,Tuning
1453_PieChart3,-2.584872,-3.112134,0.267885,-4.585896,-0.917465,0.283816,-1.596012,-0.576598,-0.360194,0.389284,-0.763363,-1.056854,0.153665,0.343436,1.082158,0.10511,-0.306173,0.083453,0.400899,-0.268175,-0.438223,0.384289,0.130625,-0.149737,0.080332,0.46401,-0.095065,-0.299129,0.186321,1.494877,-0.051052,0.847751,0.592267,-0.312983,0.310804,-0.542164,0.238013,0.444234,-0.253971,-0.188082,Tuning
1455_acute-inflammations,-1.509629,4.994903,1.231493,1.194021,3.209259,0.394995,0.280696,-0.014189,0.63883,-0.542083,-2.227835,0.550242,-0.094829,-0.152733,-0.059179,0.473839,-1.039003,0.509838,1.55409,0.057487,0.806626,0.209644,-1.060702,0.252666,0.634473,0.130524,-0.720736,-1.272858,-0.076075,0.281749,0.546758,0.021775,-0.130841,-0.703495,0.142708,0.69069,0.015773,-0.023976,-0.238049,-0.085001,Defaults
1456_appendicitis,-2.787998,1.207963,1.589972,-0.397066,1.089844,-2.738792,-1.087566,0.722564,-0.085537,0.77836,0.419927,-0.676943,-0.815687,-1.363374,-1.712375,-0.352719,1.379202,-0.22168,-0.159315,1.727916,0.548069,-0.864434,-0.596509,-0.232827,0.714744,0.353863,-0.105307,-0.356168,-0.269721,0.385074,-0.019499,0.429105,0.114504,0.075265,-0.111967,0.087151,-0.13407,-0.027699,0.194618,-0.049168,Defaults
1459_artificial-characters,6.302329,-2.355443,-2.649664,1.370591,-1.87836,-0.574761,0.832413,-0.881221,0.230497,-0.138376,0.230683,-1.642164,-0.334854,0.868017,0.465221,0.015235,0.579766,-0.125051,0.405204,-0.43473,-0.804599,-0.772058,-0.495396,1.305761,0.853004,0.079964,-0.93458,-1.144191,0.929501,0.727446,0.192168,-0.643374,-0.077493,0.992347,-0.115433,-0.25325,-0.128591,-0.334975,0.279686,0.070182,Tuning
1460_banana,-0.411888,-3.412507,0.601902,3.828228,0.354835,-0.222914,1.335251,-3.35134,2.608403,2.264737,1.636549,1.731123,0.23698,0.769218,1.722527,0.58259,0.363579,-1.126554,-1.661773,-0.429713,-0.849338,-1.860631,0.827185,-1.409874,-0.754142,0.962655,0.776465,0.63004,-0.695641,0.80097,0.557566,-0.788448,0.444566,0.076266,0.637896,0.673546,-1.151168,-0.059256,-0.646602,0.539591,Tuning
1462_banknote-authentication,0.014567,-0.973791,0.135569,1.411024,5.211597,0.670184,-0.577505,-2.212818,2.820741,0.647236,-0.068813,1.36756,2.065384,0.907021,1.019194,-0.558727,0.355935,-0.228447,1.703342,0.431537,-1.075263,-0.007744,-0.215597,-0.201294,0.878101,-0.433881,-0.232168,0.377432,-0.293695,0.551327,0.483722,0.123656,-0.182247,0.651262,-0.931327,0.082462,-0.229337,0.345576,-0.161339,0.03563,Tuning
1463_blogger,-0.370508,2.135383,3.843663,2.43471,-1.07463,0.13988,0.933568,1.941208,-1.310123,2.251157,-1.907677,0.215414,-0.836254,-0.679719,-1.451159,0.990929,0.348532,0.19508,-2.736184,1.854291,-2.565279,1.530248,-0.979381,0.225291,-0.230181,1.009798,0.146396,0.169242,-0.261494,-0.247531,0.315702,-0.049997,-0.66025,-0.100254,0.028686,0.346465,0.327401,0.236355,-0.21734,-0.083994,Defaults
1464_blood-transfusion-service-center,-0.974738,-2.693194,1.806744,-0.552147,-0.288309,-0.96213,-1.236617,-1.05735,0.588893,1.692872,0.167039,-0.824875,-0.58065,0.918257,1.251592,0.749264,0.54892,0.132243,0.059098,-0.617825,0.45813,0.178452,0.332859,0.916428,-0.087784,0.310151,-0.223849,-0.211561,-0.327678,-0.461014,-0.016226,-0.62542,-0.632548,0.220734,-0.059769,0.27674,0.146715,-0.336619,0.265613,0.200572,Tuning
1465_breast-tissue,5.228085,0.34757,0.677382,1.218905,-1.704131,-2.434081,0.39264,0.196664,-0.879331,-2.062005,0.743906,0.188071,0.184434,-1.725897,-1.576814,-0.705584,1.608709,-0.22927,1.148073,0.418397,-0.307269,0.097977,0.04639,-0.082134,-0.023605,-0.661426,1.176935,-1.200983,0.023811,-0.686349,0.44888,0.280269,-0.078545,-0.024014,-0.133916,-0.168654,0.120636,-0.247559,-0.179773,0.04889,Defaults
1466_cardiotocography,2.771777,2.180884,-4.871087,-1.578243,2.700001,0.280632,0.377888,-0.489006,0.824072,0.626064,-1.053277,-2.618215,1.504158,1.289965,0.051588,-0.810858,0.042886,-0.513688,1.868956,0.977416,0.301083,-0.116383,0.5184,-1.414926,-0.687125,-0.896356,-0.344354,-0.094544,0.625922,-0.274362,-0.273748,0.051918,-0.733165,-0.046671,-1.271428,0.589029,-0.516513,0.556178,0.335971,0.100076,Tuning
