@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute PC51 numeric
@attribute PC52 numeric
@attribute PC53 numeric
@attribute PC54 numeric
@attribute PC55 numeric
@attribute PC56 numeric
@attribute PC57 numeric
@attribute PC58 numeric
@attribute PC59 numeric
@attribute PC60 numeric
@attribute PC61 numeric
@attribute PC62 numeric
@attribute PC63 numeric
@attribute PC64 numeric
@attribute PC65 numeric
@attribute PC66 numeric
@attribute PC67 numeric
@attribute PC68 numeric
@attribute PC69 numeric
@attribute PC70 numeric
@attribute PC71 numeric
@attribute PC72 numeric
@attribute PC73 numeric
@attribute PC74 numeric
@attribute PC75 numeric
@attribute PC76 numeric
@attribute PC77 numeric
@attribute PC78 numeric
@attribute PC79 numeric
@attribute PC80 numeric
@attribute Class {Defaults,Tuning}

@data
1065_kc3,-3.711956,-0.388959,0.087145,-2.18498,0.2871,-1.801821,-2.074853,0.779635,-0.333439,-0.802466,0.149615,-0.022218,0.168876,-0.561977,0.797591,0.779258,-1.181272,0.56122,-0.364489,-0.058224,0.141854,0.283072,0.604399,0.036924,0.283156,-0.155786,0.571353,-0.362603,-0.60055,0.062836,-0.262993,-0.119771,-0.394114,-0.186484,-0.013305,0.156592,0.015931,0.273356,-0.148765,0.200718,-0.111314,0.251395,-0.070456,0.127252,0.045854,0.065453,-0.15632,-0.052104,0.166993,-0.019943,0.002735,-0.017962,-0.03951,-0.072543,-0.024432,0.013194,-0.006695,0.032232,-0.028949,-0.055656,0.006693,0.049401,-0.030101,0.081478,0.022834,0.015773,-0.025361,0.007094,-0.008689,0.006261,-0.02315,-0.015097,-0.018243,0.014721,-0.017065,-0.000836,-0.00101,0,0,-0,Tuning
1066_kc1-binary,-0.743346,3.077604,1.692074,-2.360709,0.407081,-1.551735,0.963951,-1.012423,1.18357,0.597077,0.906621,0.112324,-0.35605,-1.355823,0.04778,-0.137287,-0.001778,1.148224,0.072891,-0.434325,-0.335641,0.504873,-0.438508,-0.040507,-0.700496,-0.716868,-0.661471,-0.011482,0.441674,0.289044,0.030004,0.1943,0.290995,-0.077348,-0.45982,0.215593,0.306332,-0.089038,0.056914,-0.058115,0.176234,-0.110003,-0.038337,0.160528,0.103485,-0.125192,-0.120353,0.193742,0.15803,0.312935,0.213525,0.069573,-0.140392,0.015565,-0.04408,-0.131559,0.025083,0.018629,0.092384,-0.212222,0.035773,-0.065459,-0.036102,0.058895,0.01987,-0.02806,-0.012307,0.024716,0.110979,-0.032886,0.04168,0.10766,0.018006,0.004503,0.027691,-0.007545,0.001649,-0,-0,-0,Defaults
1067_kc1,-3.272486,-1.343391,0.118486,-1.932611,-0.686033,-0.791102,-1.417749,-0.43566,-0.957327,-0.111348,-0.066643,0.188416,0.001771,-0.268518,0.976256,0.666447,-0.851809,1.091921,-0.641476,0.433429,0.085849,-0.112739,0.173391,0.910118,0.826087,-1.00083,0.642169,0.047047,-0.035658,-0.789017,0.555996,-0.542751,-0.164384,0.611445,-0.210242,0.579919,-0.637091,-0.169867,0.284481,0.083602,0.283331,0.183983,0.137491,-0.189135,0.210976,-0.261204,-0.210685,0.12929,-0.137374,-0.020936,0.074253,-0.117258,0.068425,0.055512,-0.324455,-0.039211,-0.174117,-0.11696,-0.0538,0.088772,0.03119,-0.054385,0.044418,0.080957,-0.054426,-0.103122,0.016159,-0.122507,0.034486,-0.038922,0.029942,-0.012027,0.013605,-0.020955,0.021656,0.002662,0.001103,0,0,0,Tuning
1068_pc1,-5.039098,-0.737347,-0.288164,-3.080523,-0.909133,-0.926137,-2.476804,-0.322465,-0.657992,-0.575464,-0.897433,0.292061,0.578019,-0.279475,1.018919,0.82256,-0.956172,0.066204,-0.476822,0.175328,0.304952,0.412287,0.681489,0.262426,0.534329,-0.221378,0.559869,-0.688783,-0.430484,0.09912,-0.223614,-0.18101,-0.701201,-0.096614,-0.23735,0.514088,-0.655907,0.225339,0.067816,0.393633,-0.087152,0.154554,-0.142578,-0.254325,-0.231841,0.064567,0.001288,-0.361493,-0.108132,-0.053234,0.090307,0.054281,-0.016192,-0.027303,-0.054577,-0.013088,0.048589,0.029444,0.022256,-0.010238,-0.002494,-0.055418,0.005962,-0.032846,-0.070035,0.017699,0.005493,-0.056169,-0.051371,0.015682,-0.004349,-0.016756,-0.00218,0.007784,-0.00217,-0.003161,0.002497,0,-0,-0,Tuning
1069_pc2,-11.260727,1.638708,-4.76214,-3.085602,-6.184599,1.423749,-1.030584,-2.567931,-0.605552,-2.225303,-4.0167,4.138828,-1.159196,3.25662,-2.237928,-1.827851,2.993751,1.429491,0.481393,-0.720816,0.010015,-0.335984,-0.596289,0.443339,-0.290951,-0.261693,0.081639,-0.296531,-0.931233,-0.075182,-0.026068,-0.566419,-0.587943,0.403068,0.117167,0.114028,0.177445,0.582332,-0.106532,0.106244,0.102902,-0.163193,-0.153403,0.290399,0.237345,0.125891,0.230547,0.247132,0.017565,-0.034333,-0.267625,-0.188773,-0.039464,-0.225454,0.018266,-0.047533,0.075718,0.048926,0.004679,-0.105877,0.074365,-0.089465,-0.070258,0.048215,0.071211,0.031485,-0.020966,-0.064155,-0.011153,-0.013447,0.033628,0.003924,-0.016428,0.001316,-0.005951,-0.006755,-0.00111,0,-0,0,Tuning
1071_mw1,-4.826246,1.38074,-0.119012,-1.205047,-0.465934,-2.748585,-1.776968,0.891723,0.175228,-0.484951,0.196162,-0.505583,-0.087399,0.260492,0.658511,0.41237,-1.062824,0.092286,-0.206812,-0.49712,0.298585,-0.159112,0.164755,0.664282,0.083952,0.106402,0.333913,-0.339001,-0.217253,-0.273472,-0.049344,-0.248363,-0.288948,-0.36968,0.370997,-0.166082,0.099045,0.055332,0.020098,0.04476,-0.301817,0.008708,0.039933,0.122223,-0.127806,0.313449,0.110109,-0.019408,0.221968,0.089091,-0.082826,0.077202,0.033546,-0.198017,-0.100299,-0.214003,-0.010954,0.114334,0.02515,-0.081103,0.029795,-0.091222,-0.046392,-0.030387,-0.03885,-0.026056,0.036586,-0.01005,-0.025639,0.005757,0.005677,-0.010126,0.015457,-0.036982,0.000994,-0.000282,-0.000628,0,-0,-0,Tuning
1073_jEdit_4.0_4.2,-0.261794,1.275027,2.573171,-1.763569,-0.752586,-0.598766,0.739423,-2.796381,-0.252134,1.904115,-0.001705,-0.261276,0.112054,0.085139,0.375689,-0.203776,0.515385,0.25586,-0.47805,-0.239519,0.35032,0.549893,0.427842,-0.217596,-0.087244,0.236986,-0.091136,-0.183452,0.04819,-0.364323,0.291175,-0.291074,0.576963,0.279505,-0.200911,0.666928,0.189849,-0.201922,-0.059205,-0.106737,0.006393,-0.30419,-0.189503,-0.130301,0.097476,0.395373,-0.298082,-0.362371,-0.253792,0.057226,0.202125,-0.017096,0.005382,-0.033712,0.103664,-0.022884,-0.015491,-0.077311,0.04832,-0.067633,0.038723,-0.079902,-0.071261,-0.022371,0.034011,0.020967,0.031682,0.005535,-0.072913,-0.059842,0.02555,0.110015,0.040244,0.04442,-0.001071,-0.01822,-0.001545,-0,-0,-0,Defaults
1075_datatrieve,-5.312739,2.241179,0.598256,-0.207318,-0.291483,-4.210992,-2.574404,1.332631,0.624841,-0.803702,0.288676,0.182839,-0.746195,-0.357061,0.430791,1.178152,0.476013,-0.482099,0.427644,1.730678,0.348364,-2.297375,-0.71852,-0.197462,0.888725,1.352747,-1.054753,-0.414562,-0.111813,-0.215728,-0.358195,-0.292811,0.283867,0.383774,-0.05302,-0.054397,-0.02321,0.271821,-0.112315,0.228824,0.245704,0.04117,0.086628,-0.094558,-0.090825,0.143608,0.18496,-0.159906,-0.020561,-0.040549,0.036158,0.094502,0.007393,0.00459,0.025683,-0.014352,0.013409,-0.10407,0.034125,0.097426,0.078006,-0.051376,0.033914,0.03043,0.080576,0.044329,-0.006977,0.001926,-0.023184,0.066568,-0.031472,0.000824,-0.005816,-0.00393,0.003242,-0.003895,0.001184,0,-0,-0,Tuning
1100_PopularKids,2.434698,-1.440561,2.550734,0.64456,-2.364832,-0.480075,0.927537,0.521841,-1.161839,0.347062,0.337799,-0.668063,-0.063273,0.591902,0.040351,0.319189,0.478774,-0.27644,-0.032959,0.016131,-0.128345,-0.462355,0.029331,0.860577,0.057603,-0.718505,0.509167,0.237004,0.351528,-0.642703,0.362388,-0.316011,0.332363,0.168203,-0.034219,0.485142,-0.241848,0.421175,0.048286,-0.099124,0.096101,0.319777,0.552902,-0.358681,-0.027651,-0.196574,0.34428,0.064733,0.068113,0.096602,0.11547,0.124328,0.39756,-0.20613,0.171005,0.044848,-0.149188,0.068548,0.178638,0.110654,0.114754,-0.043515,0.055491,-0.005953,0.014481,-0.051886,-0.026089,-0.001615,0.063223,0.032465,-0.05207,-0.032831,0.001553,-0.031989,0.001429,-0.000824,-0.00175,0,0,0,Defaults
1115_teachingAssistant,4.182586,-0.046318,2.332118,1.321198,-0.468436,0.83445,-0.999254,-0.927226,0.625479,-0.146293,-0.336323,-0.335199,-1.757808,0.204125,-0.874019,1.474466,1.11486,0.292854,0.625416,0.529062,-0.773107,0.340058,-0.617267,-1.057579,-0.036618,-1.341889,0.557351,0.325575,-0.177141,-0.233631,0.603989,-0.85656,0.378257,-0.058265,-0.55863,0.09295,0.104984,-0.654787,0.247576,-0.349541,-0.486569,0.239177,-0.178994,-0.346603,0.384195,0.297456,0.34023,-0.054959,-0.203867,0.022673,-0.362158,0.379798,0.250677,-0.185275,0.08999,0.114056,0.187311,-0.033938,0.034289,0.210871,-0.002507,-0.054327,-0.082563,0.233033,-0.033492,-0.017706,-0.064062,-0.017518,-0.008932,-0.04874,-0.082444,-0.011557,-0.010325,0.011547,-0.00616,0.006865,0.000937,0,0,0,Tuning
1121_badges2,-3.580414,4.550418,-0.573715,0.959441,3.074063,-1.351571,-1.083833,-0.064467,1.695863,-1.172709,-0.866175,0.522016,2.291016,1.186923,1.336754,-0.087817,-0.36639,-0.696912,2.747456,0.106347,-1.693765,0.328335,0.198517,-1.073751,-0.242208,-0.598742,-0.447794,0.772245,0.800219,-1.232172,0.189494,-0.177062,-0.335942,0.205466,0.117496,-0.792374,0.399814,-0.3584,-0.705429,0.181868,-0.327368,-0.124716,0.050941,-0.275622,-0.047683,-0.072172,0.488045,0.269832,0.654536,0.252874,0.005804,0.084851,-0.431378,0.290641,-0.070458,-0.234493,-0.11853,-0.111581,0.058617,-0.075555,-0.038415,0.107661,0.114239,0.011999,-0.061617,0.029986,-0.060542,-0.075599,-0.06149,-0.025012,-0.055436,-0.03399,-0.014772,-0.008435,-0.035106,-0.003651,0.000511,0,-0,-0,Tuning
1167_pc1_req,-0.414056,-0.468155,3.26097,-0.717096,-1.900702,-1.125549,0.26604,-0.852134,-1.564401,0.47308,0.952951,1.299573,0.352904,-0.371273,0.602224,-0.041371,0.237675,-0.911394,-0.732082,0.120216,-0.161479,0.079774,1.055382,0.211528,-0.050725,-0.208439,0.404876,0.400333,-0.137077,-0.573242,-0.126061,-0.044894,0.123901,0.029444,-0.005353,0.291006,-0.171606,-0.127091,-0.477716,-0.123384,-0.126905,-0.011413,0.179678,0.200865,0.153941,0.169385,-0.134598,0.126053,-0.019221,-0.020175,0.163402,0.269636,-0.081669,-0.1116,0.118633,0.227937,-0.084411,-0.084325,-0.075415,0.01344,0.136622,0.040027,0.182658,0.030538,0.071882,-0.01187,-0.131978,0.032425,0.073861,0.016301,0.075947,-0.020501,-0.03834,-0.000522,0.004602,-0.020611,-0.000013,-0,-0,0,Defaults
11_balance-scale,1.834487,-4.277146,1.383909,1.57943,1.958179,-0.18272,-1.045748,-0.296479,0.619652,-0.425277,0.837058,2.304385,1.586484,-0.387754,-0.540694,0.561794,1.049823,-0.19403,-1.282977,-0.089961,0.258916,-0.41052,1.249757,0.066063,0.225742,-0.292667,0.759749,-0.00245,-0.577577,0.025701,-0.755095,-0.263146,-0.781783,0.778662,-0.349362,-0.361464,0.247881,0.209153,0.823588,0.016398,0.291693,-0.296697,0.019441,0.18379,-0.638275,-0.043716,0.330272,0.28498,0.09243,-0.08619,0.406209,-0.077097,-0.209533,0.073589,0.283172,-0.047973,0.13457,-0.176013,-0.25896,0.219152,-0.078653,-0.048657,-0.110717,-0.06259,-0.089843,-0.157003,0.00897,0.063178,-0.033022,-0.069142,-0.088715,0.025892,0.022366,-0.011293,-0.052317,-0.006929,-0.005118,0,0,0,Tuning
13_breast-cancer,0.336357,-0.991898,3.634091,1.29219,-0.140452,1.422335,-0.190169,1.330688,-1.240358,-0.180496,-0.905375,0.519948,-0.669486,-0.417772,-0.345662,1.428964,-0.162147,-0.124839,-0.163492,-0.194771,0.060617,-0.169317,0.080459,0.413881,0.231574,-0.351401,0.935631,0.939068,-0.598891,0.526717,-0.001657,-0.437111,0.157302,-0.825426,0.133617,0.528826,-0.178368,0.085899,-0.383373,-0.489,-0.197327,0.135857,-0.27531,0.522828,-0.003897,0.096079,-0.066688,0.192425,0.156935,0.049177,0.18666,-0.082881,-0.26847,0.005043,-0.074072,0.149444,-0.02624,-0.077733,-0.047215,0.098778,0.135779,-0.097331,0.25041,-0.021163,0.037161,0.047206,-0.037672,0.01511,0.026577,0.000686,0.080301,0.005859,-0.03047,-0.015188,-0.023688,-0.015537,-0.001111,0,0,0,Tuning
1442_MegaWatt1,-4.273633,1.547185,0.389885,-1.006576,-0.699157,-2.986475,-1.589268,0.834242,0.151273,-0.380767,0.407627,-0.49708,-0.218625,0.017047,0.647886,0.453764,-0.856163,0.242423,-0.149137,-0.379411,0.018162,-0.400019,-0.123242,0.438017,-0.030792,0.386598,0.030257,-0.231492,-0.220337,-0.159052,-0.148369,-0.147515,-0.319348,-0.35494,0.313652,-0.183814,0.186861,-0.112056,0.193482,0.158598,-0.11166,0.076361,0.044488,-0.053998,-0.170814,0.245238,0.120829,0.007801,0.213114,0.144401,-0.087631,0.025089,0.118155,-0.12488,-0.079978,-0.193527,-0.088925,0.138429,0.046336,-0.059019,-0.012817,-0.08603,-0.016536,-0.013201,-0.007341,-0.017308,0.022795,-0.01601,-0.011279,0.02317,0.016769,-0.016029,-0.003528,-0.023914,-0.000319,0.000764,-0.000384,0,-0,-0,Tuning
1443_PizzaCutter1,-4.38677,-0.183911,-0.405499,-2.837203,0.114852,-1.563311,-1.836318,0.687213,-0.00895,0.705332,-0.425778,-1.88072,-0.109449,0.282327,0.386808,0.021527,-1.054398,0.371771,-0.497574,-0.127294,0.288889,0.547397,0.272658,-0.127135,-0.003535,-0.225767,-0.002728,-0.239055,-0.114131,0.001108,-0.159044,-0.022962,-0.613536,-0.348527,-0.09693,0.108229,-0.134786,-0.04298,0.009407,0.365919,-0.230846,0.083213,0.164551,-0.034914,-0.067268,0.173948,-0.182115,-0.052448,0.023964,0.068177,-0.146035,0.021301,-0.049378,-0.038254,-0.011775,-0.121769,-0.050814,-0.007596,0.093259,-0.044972,-0.004318,-0.089796,-0.04333,-0.016968,-0.063459,0.023651,0.011991,0.011476,-0.023316,-0.036799,0.005863,0.012488,0.045046,-0.03543,-0.008757,0.003708,-0.000616,0,0,-0,Tuning
1444_PizzaCutter3,-2.946929,-2.553344,0.090907,-4.78846,-1.145652,0.196882,-1.419179,-0.497355,-0.245965,0.921038,-0.971945,-1.649926,-0.029857,0.849213,0.794397,-0.237104,-0.27541,0.346729,0.255563,-0.197942,-0.395265,0.148407,-0.331593,-0.079359,0.005354,0.171518,-0.070052,-0.14203,0.578405,1.173444,0.386639,0.59146,0.672295,-0.084533,0.449205,-0.386264,0.20823,0.071295,0.294388,-0.196147,-0.392443,0.003563,0.280362,-0.239543,0.074612,-0.432217,-0.175745,-0.105475,0.124202,0.058248,0.095541,0.088227,0.17698,-0.031441,0.03337,0.004689,-0.022038,-0.219094,0.017532,0.213468,0.02551,-0.051229,-0.029573,-0.004971,-0.00503,0.130841,-0.01981,0.074933,-0.001025,-0.009043,0.002743,0.023011,0.047181,-0.03693,0.002116,-0.011348,0.000104,0,0,0,Tuning
1446_CostaMadre1,-2.326184,-1.829996,0.932411,-2.573731,0.19629,-1.498809,-2.206621,0.892368,-0.568139,-1.078983,0.321419,0.282246,-0.196499,-1.086075,0.460005,0.493381,-0.479842,0.913357,0.201009,0.159298,-0.461438,0.528465,0.395038,-0.624735,0.146817,-0.353436,-0.009025,-0.217746,-0.513525,-0.249221,0.049113,-0.058219,0.005155,-0.275299,-0.007616,0.097803,0.019823,-0.166815,-0.060665,0.515795,-0.085254,0.309249,-0.210982,-0.27491,0.060629,-0.034448,-0.209788,-0.018591,0.219496,-0.048,-0.038506,-0.086595,-0.060357,-0.046142,0.044022,0.03874,-0.07362,-0.023553,-0.019321,-0.042207,0.002138,0.138186,-0.016852,0.021294,0.052664,0.051553,-0.034465,0.038508,-0.000655,0.001536,-0.010343,0.008549,0.007572,-0.011824,-0.03739,0.008005,-0.000157,0,0,-0,Tuning
1447_CastMetal1,-3.211322,-0.283691,0.635044,-2.290922,-0.50711,-1.976363,-1.791276,0.67809,-0.329982,-0.245315,0.136925,-0.507899,-0.234475,-0.262684,0.521381,0.206095,-0.806463,0.674196,-0.243716,-0.027211,-0.236536,0.216404,0.02828,-0.012963,0.146856,-0.514843,-0.006379,-0.088935,-0.135496,-0.50068,0.166904,-0.315504,-0.178759,-0.13944,-0.000535,0.300649,-0.05867,-0.431957,0.273385,0.381958,-0.08682,0.296213,-0.080988,-0.230008,0.075377,-0.059629,-0.256472,0.022097,0.06589,0.053929,-0.100964,-0.078082,-0.035597,-0.053147,0.071516,-0.092027,-0.222932,-0.026421,0.058614,-0.009259,-0.008806,0.048119,-0.03762,0.050841,0.035706,-0.075011,-0.017628,0.001561,0.03195,-0.024318,0.003088,-0.020816,-0.019573,-0.004133,-0.019852,0.021051,-0.000923,0,-0,-0,Tuning
1451_PieChart1,-3.211887,-2.378546,-0.182727,-3.638878,0.686122,-0.560095,-2.145634,0.654619,-0.363241,0.164333,-0.430928,-1.521232,-0.012801,-0.205092,0.397407,0.170575,-0.835026,0.847002,-0.182298,-0.091295,0.20097,0.668742,0.477081,-0.765265,0.121718,-0.110663,-0.028266,-0.197025,-0.327114,0.307412,-0.5107,0.313425,-0.510759,-0.279004,-0.267802,0.124673,-0.121383,0.207146,-0.500608,0.544092,-0.082223,0.116171,-0.073498,0.016319,-0.227733,0.170546,-0.026255,-0.17158,0.034674,-0.086573,-0.036722,0.019048,-0.111667,0.028678,-0.018903,-0.075624,-0.00772,-0.13073,0.062181,0.065927,-0.036219,-0.021405,0.036789,-0.057079,0.045722,-0.079198,0.027858,-0.005749,0.01058,-0.050971,-0.044547,-0.028714,-0.048289,0.051557,-0.014288,0.020824,0.000164,0,0,-0,Tuning
1452_PieChart2,-6.51141,0.947929,-1.11341,-2.767307,-1.101913,-1.876527,-2.797134,0.388748,0.021015,-1.075906,-0.968631,0.054278,-0.088525,0.444376,0.404886,-0.15564,-0.837858,-0.891821,-0.232276,-0.418599,0.5177,0.215259,-0.093914,0.453793,-0.034512,-0.047981,0.172479,-0.531713,0.240951,-0.335729,-0.047029,-0.545038,-0.153436,-0.616279,0.031754,0.13771,-0.218947,-0.082018,-0.299141,0.409619,-0.596971,-0.360181,-0.164127,-0.034428,-0.128534,0.229502,0.021918,-0.240908,-0.066846,-0.002613,0.02001,0.357386,-0.135445,-0.17044,0.156422,-0.231082,0.160711,0.01416,0.087417,-0.061717,0.058875,-0.060128,-0.106736,-0.093572,-0.031692,0.013875,0.01654,0.059746,-0.019655,0.01328,-0.002005,0.007552,0.021848,-0.058835,-0.016208,0.005047,-0.001679,0,-0,-0,Tuning
1453_PieChart3,-2.584872,-3.112134,0.267885,-4.585896,-0.917465,0.283816,-1.596012,-0.576598,-0.360194,0.389284,-0.763363,-1.056854,0.153665,0.343436,1.082158,0.10511,-0.306173,0.083453,0.400899,-0.268175,-0.438223,0.384289,0.130625,-0.149737,0.080332,0.46401,-0.095065,-0.299129,0.186321,1.494877,-0.051052,0.847751,0.592267,-0.312983,0.310804,-0.542164,0.238013,0.444234,-0.253971,-0.188082,-0.276983,-0.057976,0.19154,-0.154552,-0.118241,-0.190514,-0.204102,0.010225,0.07787,0.072997,0.10967,0.016806,0.133075,0.03318,0.004042,-0.161378,-0.089035,-0.234807,-0.120461,0.179858,-0.05461,-0.187523,0.045937,-0.069238,-0.027497,-0.151804,0.134693,-0.001135,-0.041451,-0.031075,0.009992,-0.039876,-0.050264,0.049697,0.03226,-0.001137,0.001869,0,0,-0,Tuning
1455_acute-inflammations,-1.509629,4.994903,1.231493,1.194021,3.209259,0.394995,0.280696,-0.014189,0.63883,-0.542083,-2.227835,0.550242,-0.094829,-0.152733,-0.059179,0.473839,-1.039003,0.509838,1.55409,0.057487,0.806626,0.209644,-1.060702,0.252666,0.634473,0.130524,-0.720736,-1.272858,-0.076075,0.281749,0.546758,0.021775,-0.130841,-0.703495,0.142708,0.69069,0.015773,-0.023976,-0.238049,-0.085001,-0.043493,-0.156295,0.085649,0.509077,0.286623,-0.378168,-0.309021,0.171501,-0.163412,-0.297926,0.434228,-0.11742,0.019712,-0.159724,-0.18538,0.210916,0.204965,0.32063,-0.01317,0.155448,-0.110846,0.054615,-0.03142,0.052119,0.08,-0.072815,-0.005241,0.041844,0.043582,0.04559,-0.093021,-0.043015,0.051906,-0.022996,0.003851,0.037957,0.001138,0,-0,0,Defaults
1456_appendicitis,-2.787998,1.207963,1.589972,-0.397066,1.089844,-2.738792,-1.087566,0.722564,-0.085537,0.77836,0.419927,-0.676943,-0.815687,-1.363374,-1.712375,-0.352719,1.379202,-0.22168,-0.159315,1.727916,0.548069,-0.864434,-0.596509,-0.232827,0.714744,0.353863,-0.105307,-0.356168,-0.269721,0.385074,-0.019499,0.429105,0.114504,0.075265,-0.111967,0.087151,-0.13407,-0.027699,0.194618,-0.049168,-0.187797,-0.054118,0.086375,0.087481,0.294005,-0.299788,0.007298,0.091483,-0.236659,0.198526,0.095393,-0.073263,-0.01634,0.152496,0.060445,-0.087321,0.010546,0.039708,0.015966,-0.116557,-0.055424,0.040119,0.032702,0.08312,-0.019501,-0.011064,-0.033145,0.01923,0.015658,-0.0512,0.041602,0.032086,0.002265,-0.00487,-0.002,0.002501,-0.001638,-0,-0,0,Defaults
1459_artificial-characters,6.302329,-2.355443,-2.649664,1.370591,-1.87836,-0.574761,0.832413,-0.881221,0.230497,-0.138376,0.230683,-1.642164,-0.334854,0.868017,0.465221,0.015235,0.579766,-0.125051,0.405204,-0.43473,-0.804599,-0.772058,-0.495396,1.305761,0.853004,0.079964,-0.93458,-1.144191,0.929501,0.727446,0.192168,-0.643374,-0.077493,0.992347,-0.115433,-0.25325,-0.128591,-0.334975,0.279686,0.070182,-0.365853,0.029067,-0.163798,0.258385,0.286546,-0.141498,-0.228678,-0.048933,0.297616,0.094416,-0.124589,-0.15506,-0.145192,-0.155881,-0.046808,-0.015876,-0.18023,-0.120442,-0.088578,-0.071049,-0.020656,0.268214,-0.138995,-0.034535,0.030537,-0.114273,-0.086382,0.079818,-0.042119,0.007474,0.065393,0.043311,0.066254,0.034138,0.003158,-0.013195,0.001377,-0,-0,0,Tuning
