@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute Class {Defaults,Tuning}

@data
1071_mw1,-4.826246,1.38074,-0.119012,-1.205047,-0.465934,-2.748585,-1.776968,0.891723,0.175228,-0.484951,0.196162,-0.505583,-0.087399,0.260492,0.658511,0.41237,-1.062824,0.092286,-0.206812,-0.49712,Tuning
1073_jEdit_4.0_4.2,-0.261794,1.275027,2.573171,-1.763569,-0.752586,-0.598766,0.739423,-2.796381,-0.252134,1.904115,-0.001705,-0.261276,0.112054,0.085139,0.375689,-0.203776,0.515385,0.25586,-0.47805,-0.239519,Defaults
1075_datatrieve,-5.312739,2.241179,0.598256,-0.207318,-0.291483,-4.210992,-2.574404,1.332631,0.624841,-0.803702,0.288676,0.182839,-0.746195,-0.357061,0.430791,1.178152,0.476013,-0.482099,0.427644,1.730678,Tuning
1100_PopularKids,2.434698,-1.440561,2.550734,0.64456,-2.364832,-0.480075,0.927537,0.521841,-1.161839,0.347062,0.337799,-0.668063,-0.063273,0.591902,0.040351,0.319189,0.478774,-0.27644,-0.032959,0.016131,Defaults
1115_teachingAssistant,4.182586,-0.046318,2.332118,1.321198,-0.468436,0.83445,-0.999254,-0.927226,0.625479,-0.146293,-0.336323,-0.335199,-1.757808,0.204125,-0.874019,1.474466,1.11486,0.292854,0.625416,0.529062,Tuning
1121_badges2,-3.580414,4.550418,-0.573715,0.959441,3.074063,-1.351571,-1.083833,-0.064467,1.695863,-1.172709,-0.866175,0.522016,2.291016,1.186923,1.336754,-0.087817,-0.36639,-0.696912,2.747456,0.106347,Tuning
1167_pc1_req,-0.414056,-0.468155,3.26097,-0.717096,-1.900702,-1.125549,0.26604,-0.852134,-1.564401,0.47308,0.952951,1.299573,0.352904,-0.371273,0.602224,-0.041371,0.237675,-0.911394,-0.732082,0.120216,Defaults
11_balance-scale,1.834487,-4.277146,1.383909,1.57943,1.958179,-0.18272,-1.045748,-0.296479,0.619652,-0.425277,0.837058,2.304385,1.586484,-0.387754,-0.540694,0.561794,1.049823,-0.19403,-1.282977,-0.089961,Tuning
13_breast-cancer,0.336357,-0.991898,3.634091,1.29219,-0.140452,1.422335,-0.190169,1.330688,-1.240358,-0.180496,-0.905375,0.519948,-0.669486,-0.417772,-0.345662,1.428964,-0.162147,-0.124839,-0.163492,-0.194771,Tuning
1442_MegaWatt1,-4.273633,1.547185,0.389885,-1.006576,-0.699157,-2.986475,-1.589268,0.834242,0.151273,-0.380767,0.407627,-0.49708,-0.218625,0.017047,0.647886,0.453764,-0.856163,0.242423,-0.149137,-0.379411,Tuning
1443_PizzaCutter1,-4.38677,-0.183911,-0.405499,-2.837203,0.114852,-1.563311,-1.836318,0.687213,-0.00895,0.705332,-0.425778,-1.88072,-0.109449,0.282327,0.386808,0.021527,-1.054398,0.371771,-0.497574,-0.127294,Tuning
1444_PizzaCutter3,-2.946929,-2.553344,0.090907,-4.78846,-1.145652,0.196882,-1.419179,-0.497355,-0.245965,0.921038,-0.971945,-1.649926,-0.029857,0.849213,0.794397,-0.237104,-0.27541,0.346729,0.255563,-0.197942,Tuning
1446_CostaMadre1,-2.326184,-1.829996,0.932411,-2.573731,0.19629,-1.498809,-2.206621,0.892368,-0.568139,-1.078983,0.321419,0.282246,-0.196499,-1.086075,0.460005,0.493381,-0.479842,0.913357,0.201009,0.159298,Tuning
1447_CastMetal1,-3.211322,-0.283691,0.635044,-2.290922,-0.50711,-1.976363,-1.791276,0.67809,-0.329982,-0.245315,0.136925,-0.507899,-0.234475,-0.262684,0.521381,0.206095,-0.806463,0.674196,-0.243716,-0.027211,Tuning
1451_PieChart1,-3.211887,-2.378546,-0.182727,-3.638878,0.686122,-0.560095,-2.145634,0.654619,-0.363241,0.164333,-0.430928,-1.521232,-0.012801,-0.205092,0.397407,0.170575,-0.835026,0.847002,-0.182298,-0.091295,Tuning
1452_PieChart2,-6.51141,0.947929,-1.11341,-2.767307,-1.101913,-1.876527,-2.797134,0.388748,0.021015,-1.075906,-0.968631,0.054278,-0.088525,0.444376,0.404886,-0.15564,-0.837858,-0.891821,-0.232276,-0.418599,Tuning
1453_PieChart3,-2.584872,-3.112134,0.267885,-4.585896,-0.917465,0.283816,-1.596012,-0.576598,-0.360194,0.389284,-0.763363,-1.056854,0.153665,0.343436,1.082158,0.10511,-0.306173,0.083453,0.400899,-0.268175,Tuning
1455_acute-inflammations,-1.509629,4.994903,1.231493,1.194021,3.209259,0.394995,0.280696,-0.014189,0.63883,-0.542083,-2.227835,0.550242,-0.094829,-0.152733,-0.059179,0.473839,-1.039003,0.509838,1.55409,0.057487,Defaults
1456_appendicitis,-2.787998,1.207963,1.589972,-0.397066,1.089844,-2.738792,-1.087566,0.722564,-0.085537,0.77836,0.419927,-0.676943,-0.815687,-1.363374,-1.712375,-0.352719,1.379202,-0.22168,-0.159315,1.727916,Defaults
1459_artificial-characters,6.302329,-2.355443,-2.649664,1.370591,-1.87836,-0.574761,0.832413,-0.881221,0.230497,-0.138376,0.230683,-1.642164,-0.334854,0.868017,0.465221,0.015235,0.579766,-0.125051,0.405204,-0.43473,Tuning
1460_banana,-0.411888,-3.412507,0.601902,3.828228,0.354835,-0.222914,1.335251,-3.35134,2.608403,2.264737,1.636549,1.731123,0.23698,0.769218,1.722527,0.58259,0.363579,-1.126554,-1.661773,-0.429713,Tuning
1462_banknote-authentication,0.014567,-0.973791,0.135569,1.411024,5.211597,0.670184,-0.577505,-2.212818,2.820741,0.647236,-0.068813,1.36756,2.065384,0.907021,1.019194,-0.558727,0.355935,-0.228447,1.703342,0.431537,Tuning
1463_blogger,-0.370508,2.135383,3.843663,2.43471,-1.07463,0.13988,0.933568,1.941208,-1.310123,2.251157,-1.907677,0.215414,-0.836254,-0.679719,-1.451159,0.990929,0.348532,0.19508,-2.736184,1.854291,Defaults
1464_blood-transfusion-service-center,-0.974738,-2.693194,1.806744,-0.552147,-0.288309,-0.96213,-1.236617,-1.05735,0.588893,1.692872,0.167039,-0.824875,-0.58065,0.918257,1.251592,0.749264,0.54892,0.132243,0.059098,-0.617825,Tuning
1465_breast-tissue,5.228085,0.34757,0.677382,1.218905,-1.704131,-2.434081,0.39264,0.196664,-0.879331,-2.062005,0.743906,0.188071,0.184434,-1.725897,-1.576814,-0.705584,1.608709,-0.22927,1.148073,0.418397,Defaults
1466_cardiotocography,2.771777,2.180884,-4.871087,-1.578243,2.700001,0.280632,0.377888,-0.489006,0.824072,0.626064,-1.053277,-2.618215,1.504158,1.289965,0.051588,-0.810858,0.042886,-0.513688,1.868956,0.977416,Tuning
1468_cnae-9,6.724803,1.807608,-4.78856,-15.264666,-2.499801,3.799162,8.745997,5.172147,8.472864,2.246768,1.431265,1.424738,0.007942,1.221626,-1.918387,2.046999,-0.326774,-1.206443,-0.379748,0.168495,Tuning
1473_fertility,-4.318728,0.881798,1.810621,-0.214014,-0.034682,-3.609506,-1.068634,2.595573,-0.355838,0.740205,0.742008,-0.508324,-0.255802,-1.692821,-1.772798,0.160931,2.236622,-0.803835,0.214668,3.112801,Tuning
1475_first-order-theorem-proving,1.992416,-0.281481,-1.374983,-1.301479,-4.439243,-0.709232,1.685613,-1.01683,-1.040645,0.221207,-0.093809,-1.047215,0.651058,0.477544,0.487608,-0.036088,-0.198511,-0.37247,-0.52534,0.513753,Tuning
1479_hill-valley,-0.164371,1.588143,2.801692,-2.190253,-3.283805,-1.918916,1.587038,-1.891413,-0.375916,1.931823,1.513947,1.825628,-2.242375,1.289281,2.576743,-0.384761,-2.014407,-0.863522,-1.445445,0.946132,Tuning
1480_ilpd,1.062551,-5.277691,2.532674,-1.998966,0.654005,0.76334,-0.325081,-0.148949,-0.201452,2.365415,0.066259,-1.555452,-0.835749,0.587839,-0.301224,-0.373309,1.737847,0.571291,0.319573,-0.172605,Tuning
1484_lsvt,-1.290368,5.168377,0.72288,-5.811072,-0.449976,-1.667838,3.612631,2.44626,6.212994,-0.72206,2.92083,2.663903,-0.505764,-3.48283,0.541952,2.192931,1.020139,1.974721,0.524193,-2.38133,Tuning
1487_ozone-level-8hr,-1.24307,-7.61893,-0.909956,-2.396375,3.206776,1.564421,-1.029622,3.703688,-1.816046,-1.412717,1.514603,0.30119,-0.530795,0.152048,-0.183174,-0.69489,-1.201419,3.459931,0.646697,0.192948,Tuning
1488_parkinsons,-2.008388,1.154141,1.00635,-0.857153,1.334414,-1.799733,-0.768508,-0.207056,-0.737745,-0.520669,0.762373,0.975293,-0.236104,-0.698005,-0.096233,0.289515,-0.51072,0.187474,-0.939159,-0.044409,Tuning
1489_phoneme,-0.169243,-5.406805,0.027637,1.96396,2.288806,1.541298,0.356902,-1.371927,1.447951,0.967544,0.926872,1.487848,0.701915,-0.433691,0.391517,-0.441327,-0.15445,0.840027,-1.61265,-0.573685,Tuning
1490_planning-relax,-0.147522,-2.64129,3.115013,-0.555126,-0.447621,-1.341766,0.852434,1.065175,-0.848409,2.303075,1.467504,-0.905987,-1.220369,0.443424,-0.681931,-1.619563,1.621394,-1.037683,0.933219,0.621542,Defaults
1491_one-hundred-plants-margin,9.663947,6.526538,-9.999777,1.031808,-2.947634,0.748955,-5.322647,3.890417,-2.580983,8.121784,-0.727373,2.107055,1.089418,-2.465477,0.230645,-0.736044,0.21167,-0.230852,0.692409,-1.725584,Tuning
1492_one-hundred-plants-shape,10.725879,6.030652,-9.822082,1.441827,-3.729396,0.077752,-5.973901,3.216519,-2.541059,7.157578,-0.476402,2.836399,0.271167,-2.29301,1.169906,-0.178038,-0.070652,0.219135,1.052354,-1.584534,Tuning
1494_qsar-biodeg,0.16836,-1.816391,1.081312,-3.094901,1.578992,1.136838,0.564169,-0.85956,-1.331978,0.468991,0.436033,-0.007705,1.152529,-0.411486,0.08567,-0.521755,-0.001195,1.404685,-0.084778,0.139335,Defaults
1495_qualitative-bankruptcy,-1.826514,5.045503,2.127486,2.81745,2.437231,0.471117,0.549699,0.037031,-0.507986,-0.542491,-1.582128,1.131808,-0.712229,0.427771,-1.330459,0.674777,-1.128108,-0.430651,0.253007,-1.521819,Tuning
1496_ringnorm,-0.367072,-1.07629,-0.403667,0.24996,1.317489,1.292304,3.956523,-1.712897,-1.180849,3.1398,1.474014,-2.800122,0.431945,-0.538246,-0.399164,-1.868152,0.215836,1.104884,-0.265658,0.501609,Tuning
1497_wall-robot-navigation,-0.360876,2.085681,-3.083883,1.826706,1.484625,-0.534537,0.772202,-2.473295,0.388751,-0.060798,-0.012366,-0.162954,-1.208044,0.416364,-0.67989,-0.16007,-0.449526,-1.4306,-0.530376,-0.919749,Tuning
1498_sa-heart,0.311988,-1.330772,2.695893,0.157351,0.119856,-0.653646,0.646558,-0.285113,-1.455298,0.527023,1.078505,0.595899,0.41534,-0.41231,-0.170191,-0.195339,0.295478,0.245076,-0.61265,-0.319887,Tuning
14_mfeat-fourier,6.344518,1.057225,-3.681881,-0.924885,1.622861,0.488887,1.348702,0.095469,-0.272867,-0.429872,0.149864,-0.784929,-0.030264,0.933224,-0.176675,-0.566655,-0.079865,0.679516,0.019465,0.382299,Tuning
1504_steel-plates-fault,-1.816298,1.488868,-1.353088,-2.07196,2.055634,0.054155,0.838279,-0.749705,1.626531,0.981888,-0.466047,-0.85453,3.116452,1.543873,1.419831,-0.54376,0.447625,-0.702788,2.194549,1.900649,Tuning
1506_thoracic-surgery,-5.659918,3.721236,1.35819,1.501706,-4.047371,-0.930956,0.749037,2.70843,-1.010537,-0.428321,-1.689662,2.367367,-0.68101,5.000466,-0.859143,-0.74632,0.883185,1.793354,0.656648,-0.458358,Tuning
1507_twonorm,-1.28011,-0.989538,-1.150704,1.706431,3.276748,2.05997,3.461746,-1.605945,-1.653277,-0.133581,2.207487,1.359787,1.424025,-1.993778,0.458213,-0.972483,-0.418173,1.140388,0.912835,0.457998,Tuning
1508_user-knowledge,3.370575,-0.875797,-0.263175,1.709067,1.976897,-0.481293,-0.342158,-0.793869,-0.037024,-0.749768,0.367997,0.826839,0.115905,0.006195,-1.008561,0.370506,1.337553,-0.753905,0.57172,-0.750789,Tuning
1510_wdbc,-1.818507,3.738947,-0.075829,-0.579622,2.816724,-0.623724,0.528995,-1.399486,0.489158,0.118913,0.078857,0.138936,0.832626,0.130988,0.436322,-0.840094,-1.045325,0.76465,0.697365,-0.692304,Defaults
1511_wholesale-customers,-2.019345,1.800468,1.249462,-0.940482,1.275946,-0.535709,-0.145378,-1.470073,-0.586048,1.096128,-0.324675,0.030307,0.024586,0.081268,-0.858467,-0.59999,0.093696,-0.711842,-0.785594,-0.647264,Tuning
1512_heart-long-beach,4.977674,-1.1327,1.026459,-0.451638,-3.143602,-2.332632,0.632516,-0.142256,-0.771238,-1.332087,0.671431,-0.798256,0.390522,-0.675985,-0.198908,-0.31459,0.64695,-0.130918,0.881965,-0.000018,Defaults
1519_robot-failures-lp4,-0.071087,2.14235,-0.283082,-2.300662,1.507928,-2.06792,0.072611,0.90732,0.831413,-0.762447,1.040031,0.505167,-1.01296,-1.75245,-1.989894,-0.104664,1.388427,-0.166786,-0.705502,0.174372,Tuning
1520_robot-failures-lp5,3.937429,1.711677,-1.048446,-2.036472,-0.355384,-2.002348,0.081146,0.141865,0.153306,-2.224467,0.656651,0.842641,-0.37254,-1.540527,-0.529548,0.39274,0.320635,0.328372,-0.264617,0.148349,Tuning
1523_vertebra-column,0.716242,2.055691,0.253892,0.311889,1.194705,-1.774609,0.226267,-1.366399,-0.25707,0.249506,0.361697,-0.698943,-1.072094,0.195014,-1.508211,-1.315196,-0.031205,-1.11143,-1.05054,-1.259841,Tuning
1527_volcanoes-a1,-1.350433,-7.229544,-1.839854,3.273612,2.214745,0.221323,-2.785701,1.074291,5.48866,0.70752,-0.730175,0.274547,2.448732,1.079085,-0.903554,-1.270581,0.154926,0.117987,-2.52134,-1.175406,Tuning
1528_volcanoes-a2,-2.684307,-2.480223,-1.768823,2.252377,1.048011,-1.463011,-1.79362,1.54303,2.134665,0.060784,-0.012005,-0.959737,1.581564,0.887709,-0.523085,-0.271714,0.13978,-0.473103,-0.893825,-0.91076,Tuning
1529_volcanoes-a3,-1.762896,-4.404395,-1.465093,2.152555,1.663309,-0.841801,-2.241889,1.151045,3.676946,1.183556,-0.501543,-1.619962,1.462538,1.325588,-0.754499,-0.632298,0.726517,-0.644661,-1.141361,-1.193841,Tuning
1530_volcanoes-a4,-2.447658,-2.933309,-1.55731,2.274937,0.921645,-1.426382,-1.949557,1.462438,2.930119,0.429541,-0.270181,-0.94906,2.122203,1.008989,-0.646526,-0.752649,-0.175702,-0.161158,-1.60068,-0.739322,Tuning
1531_volcanoes-b1,-7.545581,-2.661867,-6.063563,5.387748,-1.615459,0.06739,2.341524,0.029742,1.102862,0.598711,1.452545,-1.160473,-0.46655,-1.522634,0.442465,1.078407,-0.363523,-0.783149,0.368644,0.315476,Defaults
1533_volcanoes-b3,-7.546984,-2.66974,-6.44507,5.441189,-1.52982,0.045587,2.307967,0.095836,1.180072,0.371663,1.430839,-1.27595,-0.87704,-1.623462,0.314573,0.701119,-0.472576,-1.020947,0.270066,0.09239,Defaults
1535_volcanoes-b5,-7.23939,-3.169041,-5.718974,4.986518,-1.615589,0.340374,2.394116,0.09113,0.983386,1.042059,1.382095,-1.517498,-0.374555,-1.588801,0.341529,1.069556,-0.540649,-0.334116,0.048623,0.248392,Defaults
1536_volcanoes-b6,-7.55809,-2.657108,-6.045026,5.387892,-1.571045,0.046143,2.311973,0.042629,1.147162,0.62818,1.44305,-1.132459,-0.385004,-1.460885,0.469115,1.090542,-0.313626,-0.851053,0.426198,0.395596,Defaults
1539_volcanoes-d2,-9.034626,0.280827,-5.865853,6.135432,-4.468104,-1.218981,3.304466,1.191303,0.134902,0.138818,1.022956,1.174564,-0.891037,2.633894,-1.061218,-0.256989,0.811121,3.568328,0.577379,0.058006,Tuning
1540_volcanoes-d3,-9.036463,0.253895,-5.92225,6.219466,-4.488236,-1.174304,3.364435,1.170938,0.13205,0.138638,1.0547,1.161304,-0.963133,2.59594,-1.061292,-0.258304,0.7787,3.622186,0.573503,0.036767,Tuning
1547_autoUniv-au1-1000,-0.570165,-3.801982,2.78727,-1.846846,-0.655696,-0.022813,2.186772,2.867921,-2.363993,1.875701,2.104803,1.362314,0.687,1.030569,0.184083,-2.669539,-0.499803,-1.999906,0.461165,1.42994,Tuning
1549_autoUniv-au6-750,5.980077,-0.161708,-0.156994,0.377646,-3.864195,-2.090093,1.62422,0.446735,-0.915485,-2.019803,1.168193,-1.755914,1.30666,0.44665,0.616183,-0.859067,-0.049496,-1.052561,1.037909,-0.79185,Defaults
